Student_ID,Study_Hours,Attendance_Percentage,Assignment_Score,Sleep_Hours,Previous_Score,Final_Score
1,5.2,75,92,7.5,49,79.5
2,2.9,83,92,6.6,53,76.4
3,6.2,69,52,6.8,78,84.2
4,1.0,76,91,4.7,73,59.0
5,2.9,57,51,8.0,69,58.5
6,2.2,93,69,8.1,57,67.8
7,1.3,57,73,7.2,53,58.7
8,2.5,68,85,8.4,68,68.3
9,3.0,68,44,7.5,78,71.1
10,7.5,59,97,6.4,92,94.2
11,1.8,55,61,6.7,74,67.6
12,1.5,88,97,5.8,79,69.9
13,4.6,92,47,9.0,71,85.5
14,4.0,81,60,7.2,58,74.5
15,3.1,75,91,7.6,95,90.5
16,4.0,80,58,5.0,79,72.0
17,6.5,96,45,6.6,86,84.5
18,7.8,63,83,7.6,52,86.0
19,2.1,85,60,5.4,75,72.6
20,3.3,91,63,5.1,88,75.8
21,1.1,88,78,8.4,90,71.7
22,5.2,77,51,4.7,79,80.2
23,3.0,67,60,4.6,52,66.2
24,5.0,100,49,5.3,71,75.5
25,3.8,74,65,7.6,62,69.7
26,7.3,70,70,7.2,70,90.3
27,2.6,69,58,5.9,77,63.3
28,2.2,86,59,5.1,57,55.0
29,5.0,64,69,6.2,79,85.4
30,6.7,75,49,8.4,69,89.2
31,7.3,75,48,7.3,85,86.4
32,3.7,80,100,6.7,88,91.6
33,6.2,57,44,5.3,68,76.2
34,6.3,100,89,7.3,86,100.0
35,5.2,71,67,8.5,78,81.9
36,7.6,83,60,8.3,48,83.1
37,1.1,58,79,7.8,93,76.1
38,4.3,87,48,5.7,47,59.4
39,3.0,75,74,7.7,84,81.8
40,2.4,85,71,6.5,66,68.6
41,4.0,70,58,5.2,68,66.3
42,4.7,80,79,6.5,47,66.5
43,2.0,98,44,8.4,64,66.3
44,1.7,92,43,6.2,52,59.8
45,4.9,59,98,7.9,77,89.9
46,4.8,92,72,5.3,44,66.4
47,1.4,67,81,7.5,71,73.3
48,1.2,73,60,5.8,86,65.8
49,2.4,98,98,5.7,69,81.9
50,7.5,86,74,8.1,57,90.5
51,6.3,80,81,7.0,70,95.1
52,7.9,90,58,7.3,77,100.0
53,3.7,95,59,8.5,63,73.4
54,4.7,93,77,8.4,78,82.9
55,3.0,99,69,5.7,75,79.4
56,6.2,87,51,8.3,90,92.1
57,4.3,58,70,8.5,77,77.1
58,4.1,83,83,6.8,42,66.4
59,1.7,60,62,8.2,86,71.1
60,1.6,56,56,7.7,55,60.6
61,5.4,96,94,6.1,45,82.9
62,2.7,77,57,5.7,80,69.9
63,4.4,82,46,8.0,78,83.7
64,1.8,57,42,6.0,53,47.2
65,7.9,81,91,6.0,76,91.5
66,6.1,91,62,5.4,83,88.1
67,2.0,58,87,6.4,88,76.8
68,4.5,98,50,5.2,70,78.1
69,2.4,90,54,5.1,76,69.5
70,4.9,64,96,6.8,81,79.8
71,7.7,81,57,4.7,58,86.0
72,6.3,66,92,6.6,50,83.3
73,4.6,63,92,4.9,47,77.4
74,2.5,76,71,7.3,67,71.7
75,2.1,100,90,6.1,51,69.3
